iteration,reward_mean,length_mean,games,loss
56000,-1.0,2.0,8,"[array(-1.33969345), array(-1.41206983), array(0.07237639, dtype=float32)]"
56500,-1.0,2.0,9,"[array(-1.26043411), array(-1.3455533), array(0.08511919, dtype=float32)]"
57000,-0.78,2.22,9,"[array(-1.27315988), array(-1.35076692), array(0.07760704, dtype=float32)]"
57500,-1.0,2.0,13,"[array(-1.23395839), array(-1.3119562), array(0.0779978, dtype=float32)]"
58000,-1.0,2.0,10,"[array(-1.25522198), array(-1.3223471), array(0.06712512, dtype=float32)]"
58500,-1.0,2.0,9,"[array(-1.36192363), array(-1.42492507), array(0.06300144, dtype=float32)]"
59000,-1.0,2.0,8,"[array(-1.25299873), array(-1.35528357), array(0.10228484, dtype=float32)]"
59500,-1.0,2.0,8,"[array(-1.19821122), array(-1.27871841), array(0.08050719, dtype=float32)]"
60000,-0.89,2.11,9,"[array(-1.18002934), array(-1.25230651), array(0.07227717, dtype=float32)]"
60500,-1.0,2.0,9,"[array(-1.2603636), array(-1.34334924), array(0.08298564, dtype=float32)]"
61000,-1.0,2.0,8,"[array(-1.21863052), array(-1.29219031), array(0.07355979, dtype=float32)]"
61500,-1.0,2.0,8,"[array(-1.23471715), array(-1.31167956), array(0.07696241, dtype=float32)]"
62000,-1.0,2.0,10,"[array(-1.24661504), array(-1.31469614), array(0.0680811, dtype=float32)]"
62500,-1.0,2.0,8,"[array(-1.26365012), array(-1.32982936), array(0.06617924, dtype=float32)]"
63000,-1.0,2.0,8,"[array(-1.27919492), array(-1.36803079), array(0.08883587, dtype=float32)]"
63500,-1.0,2.0,10,"[array(-1.26560434), array(-1.35072515), array(0.08512081, dtype=float32)]"
64000,-1.0,2.0,8,"[array(-1.27495024), array(-1.34137793), array(0.06642769, dtype=float32)]"
64500,-0.9,2.1,10,"[array(-1.3397456), array(-1.41106128), array(0.07131568, dtype=float32)]"
65000,-1.0,2.0,8,"[array(-1.26375942), array(-1.33552572), array(0.07176629, dtype=float32)]"
65500,-0.8,2.2,10,"[array(-1.33393577), array(-1.41193991), array(0.07800414, dtype=float32)]"
66000,-1.0,2.0,9,"[array(-1.23701229), array(-1.31500751), array(0.07799522, dtype=float32)]"
66500,-1.0,2.0,9,"[array(-1.25209828), array(-1.33288033), array(0.08078205, dtype=float32)]"
67000,-1.0,2.0,8,"[array(-1.27062252), array(-1.34874929), array(0.07812677, dtype=float32)]"
67500,-0.75,2.25,8,"[array(-1.31265975), array(-1.3859513), array(0.07329155, dtype=float32)]"
68000,-1.0,2.0,8,"[array(-1.20090616), array(-1.27877587), array(0.07786971, dtype=float32)]"
68500,-0.89,2.11,9,"[array(-1.27200299), array(-1.35952921), array(0.08752622, dtype=float32)]"
69000,-1.0,2.0,8,"[array(-1.26489237), array(-1.34105638), array(0.07616401, dtype=float32)]"
69500,-1.0,2.0,9,"[array(-1.38192925), array(-1.4535087), array(0.07157946, dtype=float32)]"
70000,-1.0,2.0,8,"[array(-1.26188906), array(-1.34059179), array(0.07870273, dtype=float32)]"
70500,-0.78,2.22,9,"[array(-1.25602981), array(-1.3472278), array(0.09119799, dtype=float32)]"
71000,-1.0,2.0,8,"[array(-1.3068183), array(-1.38985318), array(0.08303488, dtype=float32)]"
71500,-1.0,2.0,9,"[array(-1.13354961), array(-1.19809384), array(0.06454423, dtype=float32)]"
72000,-1.0,2.0,10,"[array(-1.37585026), array(-1.43203314), array(0.05618288, dtype=float32)]"
72500,-0.89,2.11,9,"[array(-1.29592059), array(-1.39172722), array(0.09580663, dtype=float32)]"
73000,-1.0,2.0,8,"[array(-1.28895966), array(-1.35993762), array(0.07097796, dtype=float32)]"
73500,-1.0,2.0,10,"[array(-1.29786551), array(-1.37671191), array(0.0788464, dtype=float32)]"
74000,-1.0,2.0,9,"[array(-1.3330807), array(-1.41511964), array(0.08203895, dtype=float32)]"
74500,-1.0,2.0,8,"[array(-1.32099707), array(-1.39662175), array(0.07562468, dtype=float32)]"
75000,-1.0,2.0,8,"[array(-1.24645781), array(-1.32836349), array(0.08190569, dtype=float32)]"
75500,-1.0,2.0,10,"[array(-1.27288843), array(-1.35268894), array(0.07980051, dtype=float32)]"
76000,-1.0,2.0,9,"[array(-1.32338691), array(-1.40869285), array(0.08530594, dtype=float32)]"
76500,-0.78,2.22,9,"[array(-1.23612102), array(-1.30310989), array(0.06698888, dtype=float32)]"
77000,-0.88,2.12,8,"[array(-1.28747749), array(-1.37392854), array(0.08645105, dtype=float32)]"
77500,-1.0,2.0,9,"[array(-1.22237229), array(-1.30524001), array(0.08286773, dtype=float32)]"
78000,-1.0,2.0,9,"[array(-1.2847601), array(-1.36137368), array(0.07661358, dtype=float32)]"
78500,-1.0,2.0,10,"[array(-1.2749896), array(-1.35259107), array(0.07760148, dtype=float32)]"
79000,-1.0,2.0,9,"[array(-1.29360427), array(-1.37466173), array(0.08105746, dtype=float32)]"
79500,-1.0,2.0,11,"[array(-1.22375956), array(-1.30279548), array(0.07903592, dtype=float32)]"
80000,-1.0,2.0,9,"[array(-1.2331708), array(-1.3038891), array(0.0707183, dtype=float32)]"
80500,-0.9,2.1,10,"[array(-1.22564554), array(-1.30740379), array(0.08175825, dtype=float32)]"
